provincia,codigo_provincia,canton,codigo_canton,numero_librerias,ventas_totales,ventas_promedio,ventas_mediana
MORONA SANTIAGO,14,GUALAQUIZA,1402,12,28366.0,2578.7272727272725,0.0
MORONA SANTIAGO,14,HUAMBOYA,1407,2,0.0,0.0,0.0
MORONA SANTIAGO,14,LIMÓN INDANZA,1403,10,0.0,0.0,0.0
MORONA SANTIAGO,14,LOGROÑO,1410,1,0.0,0.0,0.0
MORONA SANTIAGO,14,MORONA,1401,39,326257.0,8585.71052631579,0.0
MORONA SANTIAGO,14,SAN JUAN BOSCO,1408,4,0.0,0.0,0.0
MORONA SANTIAGO,14,SANTIAGO,1405,4,0.0,0.0,0.0
MORONA SANTIAGO,14,SEVILLA DON BOSCO,1413,2,0.0,0.0,0.0
MORONA SANTIAGO,14,SUCÚA,1406,10,0.0,0.0,0.0
MORONA SANTIAGO,14,TAISHA,1409,1,0.0,,
MORONA SANTIAGO,14,TIWINTZA,1412,3,0.0,0.0,0.0
TUNGURAHUA,18,AMBATO,1801,342,4077753.0,13069.721153846154,0.0
TUNGURAHUA,18,BAÑOS DE AGUA SANTA,1802,21,0.0,0.0,0.0
TUNGURAHUA,18,CEVALLOS,1803,8,0.0,0.0,0.0
TUNGURAHUA,18,MOCHA,1804,5,0.0,0.0,0.0
TUNGURAHUA,18,PATATE,1805,4,0.0,0.0,0.0
TUNGURAHUA,18,QUERO,1806,8,0.0,0.0,0.0
TUNGURAHUA,18,SAN PEDRO DE PELILEO,1807,29,671436.0,23152.96551724138,0.0
TUNGURAHUA,18,SANTIAGO DE PÍLLARO,1808,23,0.0,0.0,0.0
TUNGURAHUA,18,TISALEO,1809,6,0.0,0.0,0.0
